amplitude,period,wave
52,80,"[0, 4, 8, 12, 16, 20, 24, 27, 31, 34, 37, 40, 42, 44, 46, 48, 49, 51, 51, 52, 52, 52, 51, 51, 49, 48, 46, 44, 42, 40, 37, 34, 31, 27, 24, 20, 16, 12, 8, 4, 0, -4, -8, -12, -16, -20, -24, -27, -31, -34, -37, -40, -42, -44, -46, -48, -49, -51, -51, -52, -52, -52, -51, -51, -49, -48, -46, -44, -42, -40, -37, -34, -31, -27, -24, -20, -16, -12, -8, -4, 0, 4, 8, 12, 16, 20, 24, 27, 31, 34, 37, 40, 42, 44, 46, 48, 49, 51, 51, 52, 52, 52, 51, 51, 49, 48, 46, 44, 42, 40, 37, 34, 31, 27, 24, 20, 16, 12, 8, 4, 0, -4, -8, -12, -16, -20, -24, -27, -31, -34, -37, -40, -42, -44, -46, -48, -49, -51, -51, -52, -52, -52, -51, -51, -49, -48, -46, -44, -42, -40, -37, -34, -31, -27, -24, -20, -16, -12, -8, -4, 0, 4, 8, 12, 16, 20, 24, 27, 31, 34, 37, 40, 42, 44, 46, 48, 49, 51, 51, 52, 52, 52, 51, 51, 49, 48, 46, 44, 42, 40, 37, 34, 31, 27, 24, 20, 16, 12, 8, 4, 0, -4, -8, -12, -16, -20, -24, -27, -31, -34, -37, -40, -42, -44, -46, -48, -49, -51, -51, -52, -52, -52, -51, -51, -49, -48, -46, -44, -42, -40, -37, -34, -31, -27, -24, -20, -16, -12, -8, -4, 0, 4, 8, 12, 16, 20, 24, 27, 31, 34, 37, 40, 42, 44, 46, 48, 49, 51, 51, 52, 52, 52, 51, 51, 49, 48, 46, 44, 42, 40, 37, 34, 31, 27, 24, 20, 16, 12, 8, 4, 0, -4, -8, -12, -16, -20, -24, -27, -31, -34, -37, -40, -42, -44, -46, -48, -49, -51, -51, -52]"
40,80,"[0, 3, 6, 9, 12, 15, 18, 21, 24, 26, 28, 30, 32, 34, 36, 37, 38, 39, 40, 40, 40, 40, 40, 39, 38, 37, 36, 34, 32, 30, 28, 26, 24, 21, 18, 15, 12, 9, 6, 3, 0, -3, -6, -9, -12, -15, -18, -21, -24, -26, -28, -30, -32, -34, -36, -37, -38, -39, -40, -40, -40, -40, -40, -39, -38, -37, -36, -34, -32, -30, -28, -26, -24, -21, -18, -15, -12, -9, -6, -3, 0, 3, 6, 9, 12, 15, 18, 21, 24, 26, 28, 30, 32, 34, 36, 37, 38, 39, 40, 40, 40, 40, 40, 39, 38, 37, 36, 34, 32, 30, 28, 26, 24, 21, 18, 15, 12, 9, 6, 3, 0, -3, -6, -9, -12, -15, -18, -21, -24, -26, -28, -30, -32, -34, -36, -37, -38, -39, -40, -40, -40, -40, -40, -39, -38, -37, -36, -34, -32, -30, -28, -26, -24, -21, -18, -15, -12, -9, -6, -3, 0, 3, 6, 9, 12, 15, 18, 21, 24, 26, 28, 30, 32, 34, 36, 37, 38, 39, 40, 40, 40, 40, 40, 39, 38, 37, 36, 34, 32, 30, 28, 26, 24, 21, 18, 15, 12, 9, 6, 3, 0, -3, -6, -9, -12, -15, -18, -21, -24, -26, -28, -30, -32, -34, -36, -37, -38, -39, -40, -40, -40, -40, -40, -39, -38, -37, -36, -34, -32, -30, -28, -26, -24, -21, -18, -15, -12, -9, -6, -3, 0, 3, 6, 9, 12, 15, 18, 21, 24, 26, 28, 30, 32, 34, 36, 37, 38, 39, 40, 40, 40, 40, 40, 39, 38, 37, 36, 34, 32, 30, 28, 26, 24, 21, 18, 15, 12, 9, 6, 3, 0, -3, -6, -9, -12, -15, -18, -21, -24, -26, -28, -30, -32, -34, -36, -37, -38, -39, -40, -40]"
22,80,"[0, 2, 3, 5, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 20, 21, 21, 22, 22, 22, 22, 22, 21, 21, 20, 20, 19, 18, 17, 16, 14, 13, 11, 10, 8, 7, 5, 3, 2, 0, -2, -3, -5, -7, -8, -10, -11, -13, -14, -16, -17, -18, -19, -20, -20, -21, -21, -22, -22, -22, -22, -22, -21, -21, -20, -20, -19, -18, -17, -16, -14, -13, -11, -10, -8, -7, -5, -3, -2, 0, 2, 3, 5, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 20, 21, 21, 22, 22, 22, 22, 22, 21, 21, 20, 20, 19, 18, 17, 16, 14, 13, 11, 10, 8, 7, 5, 3, 2, 0, -2, -3, -5, -7, -8, -10, -11, -13, -14, -16, -17, -18, -19, -20, -20, -21, -21, -22, -22, -22, -22, -22, -21, -21, -20, -20, -19, -18, -17, -16, -14, -13, -11, -10, -8, -7, -5, -3, -2, 0, 2, 3, 5, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 20, 21, 21, 22, 22, 22, 22, 22, 21, 21, 20, 20, 19, 18, 17, 16, 14, 13, 11, 10, 8, 7, 5, 3, 2, 0, -2, -3, -5, -7, -8, -10, -11, -13, -14, -16, -17, -18, -19, -20, -20, -21, -21, -22, -22, -22, -22, -22, -21, -21, -20, -20, -19, -18, -17, -16, -14, -13, -11, -10, -8, -7, -5, -3, -2, 0, 2, 3, 5, 7, 8, 10, 11, 13, 14, 16, 17, 18, 19, 20, 20, 21, 21, 22, 22, 22, 22, 22, 21, 21, 20, 20, 19, 18, 17, 16, 14, 13, 11, 10, 8, 7, 5, 3, 2, 0, -2, -3, -5, -7, -8, -10, -11, -13, -14, -16, -17, -18, -19, -20, -20, -21, -21, -22, -22]"
77,80,"[0, 6, 12, 18, 24, 29, 35, 40, 45, 50, 54, 59, 62, 66, 69, 71, 73, 75, 76, 77, 77, 77, 76, 75, 73, 71, 69, 66, 62, 59, 54, 50, 45, 40, 35, 29, 24, 18, 12, 6, 0, -6, -12, -18, -24, -29, -35, -40, -45, -50, -54, -59, -62, -66, -69, -71, -73, -75, -76, -77, -77, -77, -76, -75, -73, -71, -69, -66, -62, -59, -54, -50, -45, -40, -35, -29, -24, -18, -12, -6, 0, 6, 12, 18, 24, 29, 35, 40, 45, 50, 54, 59, 62, 66, 69, 71, 73, 75, 76, 77, 77, 77, 76, 75, 73, 71, 69, 66, 62, 59, 54, 50, 45, 40, 35, 29, 24, 18, 12, 6, 0, -6, -12, -18, -24, -29, -35, -40, -45, -50, -54, -59, -62, -66, -69, -71, -73, -75, -76, -77, -77, -77, -76, -75, -73, -71, -69, -66, -62, -59, -54, -50, -45, -40, -35, -29, -24, -18, -12, -6, 0, 6, 12, 18, 24, 29, 35, 40, 45, 50, 54, 59, 62, 66, 69, 71, 73, 75, 76, 77, 77, 77, 76, 75, 73, 71, 69, 66, 62, 59, 54, 50, 45, 40, 35, 29, 24, 18, 12, 6, 0, -6, -12, -18, -24, -29, -35, -40, -45, -50, -54, -59, -62, -66, -69, -71, -73, -75, -76, -77, -77, -77, -76, -75, -73, -71, -69, -66, -62, -59, -54, -50, -45, -40, -35, -29, -24, -18, -12, -6, 0, 6, 12, 18, 24, 29, 35, 40, 45, 50, 54, 59, 62, 66, 69, 71, 73, 75, 76, 77, 77, 77, 76, 75, 73, 71, 69, 66, 62, 59, 54, 50, 45, 40, 35, 29, 24, 18, 12, 6, 0, -6, -12, -18, -24, -29, -35, -40, -45, -50, -54, -59, -62, -66, -69, -71, -73, -75, -76, -77]"
23,80,"[0, 2, 4, 5, 7, 9, 10, 12, 14, 15, 16, 17, 19, 20, 20, 21, 22, 22, 23, 23, 23, 23, 23, 22, 22, 21, 20, 20, 19, 17, 16, 15, 14, 12, 10, 9, 7, 5, 4, 2, 0, -2, -4, -5, -7, -9, -10, -12, -14, -15, -16, -17, -19, -20, -20, -21, -22, -22, -23, -23, -23, -23, -23, -22, -22, -21, -20, -20, -19, -17, -16, -15, -14, -12, -10, -9, -7, -5, -4, -2, 0, 2, 4, 5, 7, 9, 10, 12, 14, 15, 16, 17, 19, 20, 20, 21, 22, 22, 23, 23, 23, 23, 23, 22, 22, 21, 20, 20, 19, 17, 16, 15, 14, 12, 10, 9, 7, 5, 4, 2, 0, -2, -4, -5, -7, -9, -10, -12, -14, -15, -16, -17, -19, -20, -20, -21, -22, -22, -23, -23, -23, -23, -23, -22, -22, -21, -20, -20, -19, -17, -16, -15, -14, -12, -10, -9, -7, -5, -4, -2, 0, 2, 4, 5, 7, 9, 10, 12, 14, 15, 16, 17, 19, 20, 20, 21, 22, 22, 23, 23, 23, 23, 23, 22, 22, 21, 20, 20, 19, 17, 16, 15, 14, 12, 10, 9, 7, 5, 4, 2, 0, -2, -4, -5, -7, -9, -10, -12, -14, -15, -16, -17, -19, -20, -20, -21, -22, -22, -23, -23, -23, -23, -23, -22, -22, -21, -20, -20, -19, -17, -16, -15, -14, -12, -10, -9, -7, -5, -4, -2, 0, 2, 4, 5, 7, 9, 10, 12, 14, 15, 16, 17, 19, 20, 20, 21, 22, 22, 23, 23, 23, 23, 23, 22, 22, 21, 20, 20, 19, 17, 16, 15, 14, 12, 10, 9, 7, 5, 4, 2, 0, -2, -4, -5, -7, -9, -10, -12, -14, -15, -16, -17, -19, -20, -20, -21, -22, -22, -23, -23]"
32,80,"[0, 3, 5, 7, 10, 12, 15, 17, 19, 21, 23, 24, 26, 27, 29, 30, 30, 31, 32, 32, 32, 32, 32, 31, 30, 30, 29, 27, 26, 24, 23, 21, 19, 17, 15, 12, 10, 7, 5, 3, 0, -3, -5, -7, -10, -12, -15, -17, -19, -21, -23, -24, -26, -27, -29, -30, -30, -31, -32, -32, -32, -32, -32, -31, -30, -30, -29, -27, -26, -24, -23, -21, -19, -17, -15, -12, -10, -7, -5, -3, 0, 3, 5, 7, 10, 12, 15, 17, 19, 21, 23, 24, 26, 27, 29, 30, 30, 31, 32, 32, 32, 32, 32, 31, 30, 30, 29, 27, 26, 24, 23, 21, 19, 17, 15, 12, 10, 7, 5, 3, 0, -3, -5, -7, -10, -12, -15, -17, -19, -21, -23, -24, -26, -27, -29, -30, -30, -31, -32, -32, -32, -32, -32, -31, -30, -30, -29, -27, -26, -24, -23, -21, -19, -17, -15, -12, -10, -7, -5, -3, 0, 3, 5, 7, 10, 12, 15, 17, 19, 21, 23, 24, 26, 27, 29, 30, 30, 31, 32, 32, 32, 32, 32, 31, 30, 30, 29, 27, 26, 24, 23, 21, 19, 17, 15, 12, 10, 7, 5, 3, 0, -3, -5, -7, -10, -12, -15, -17, -19, -21, -23, -24, -26, -27, -29, -30, -30, -31, -32, -32, -32, -32, -32, -31, -30, -30, -29, -27, -26, -24, -23, -21, -19, -17, -15, -12, -10, -7, -5, -3, 0, 3, 5, 7, 10, 12, 15, 17, 19, 21, 23, 24, 26, 27, 29, 30, 30, 31, 32, 32, 32, 32, 32, 31, 30, 30, 29, 27, 26, 24, 23, 21, 19, 17, 15, 12, 10, 7, 5, 3, 0, -3, -5, -7, -10, -12, -15, -17, -19, -21, -23, -24, -26, -27, -29, -30, -30, -31, -32, -32]"
69,80,"[0, 5, 11, 16, 21, 26, 31, 36, 41, 45, 49, 52, 56, 59, 61, 64, 66, 67, 68, 69, 69, 69, 68, 67, 66, 64, 61, 59, 56, 52, 49, 45, 41, 36, 31, 26, 21, 16, 11, 5, 0, -5, -11, -16, -21, -26, -31, -36, -41, -45, -49, -52, -56, -59, -61, -64, -66, -67, -68, -69, -69, -69, -68, -67, -66, -64, -61, -59, -56, -52, -49, -45, -41, -36, -31, -26, -21, -16, -11, -5, 0, 5, 11, 16, 21, 26, 31, 36, 41, 45, 49, 52, 56, 59, 61, 64, 66, 67, 68, 69, 69, 69, 68, 67, 66, 64, 61, 59, 56, 52, 49, 45, 41, 36, 31, 26, 21, 16, 11, 5, 0, -5, -11, -16, -21, -26, -31, -36, -41, -45, -49, -52, -56, -59, -61, -64, -66, -67, -68, -69, -69, -69, -68, -67, -66, -64, -61, -59, -56, -52, -49, -45, -41, -36, -31, -26, -21, -16, -11, -5, 0, 5, 11, 16, 21, 26, 31, 36, 41, 45, 49, 52, 56, 59, 61, 64, 66, 67, 68, 69, 69, 69, 68, 67, 66, 64, 61, 59, 56, 52, 49, 45, 41, 36, 31, 26, 21, 16, 11, 5, 0, -5, -11, -16, -21, -26, -31, -36, -41, -45, -49, -52, -56, -59, -61, -64, -66, -67, -68, -69, -69, -69, -68, -67, -66, -64, -61, -59, -56, -52, -49, -45, -41, -36, -31, -26, -21, -16, -11, -5, 0, 5, 11, 16, 21, 26, 31, 36, 41, 45, 49, 52, 56, 59, 61, 64, 66, 67, 68, 69, 69, 69, 68, 67, 66, 64, 61, 59, 56, 52, 49, 45, 41, 36, 31, 26, 21, 16, 11, 5, 0, -5, -11, -16, -21, -26, -31, -36, -41, -45, -49, -52, -56, -59, -61, -64, -66, -67, -68, -69]"
40,80,"[0, 3, 6, 9, 12, 15, 18, 21, 24, 26, 28, 30, 32, 34, 36, 37, 38, 39, 40, 40, 40, 40, 40, 39, 38, 37, 36, 34, 32, 30, 28, 26, 24, 21, 18, 15, 12, 9, 6, 3, 0, -3, -6, -9, -12, -15, -18, -21, -24, -26, -28, -30, -32, -34, -36, -37, -38, -39, -40, -40, -40, -40, -40, -39, -38, -37, -36, -34, -32, -30, -28, -26, -24, -21, -18, -15, -12, -9, -6, -3, 0, 3, 6, 9, 12, 15, 18, 21, 24, 26, 28, 30, 32, 34, 36, 37, 38, 39, 40, 40, 40, 40, 40, 39, 38, 37, 36, 34, 32, 30, 28, 26, 24, 21, 18, 15, 12, 9, 6, 3, 0, -3, -6, -9, -12, -15, -18, -21, -24, -26, -28, -30, -32, -34, -36, -37, -38, -39, -40, -40, -40, -40, -40, -39, -38, -37, -36, -34, -32, -30, -28, -26, -24, -21, -18, -15, -12, -9, -6, -3, 0, 3, 6, 9, 12, 15, 18, 21, 24, 26, 28, 30, 32, 34, 36, 37, 38, 39, 40, 40, 40, 40, 40, 39, 38, 37, 36, 34, 32, 30, 28, 26, 24, 21, 18, 15, 12, 9, 6, 3, 0, -3, -6, -9, -12, -15, -18, -21, -24, -26, -28, -30, -32, -34, -36, -37, -38, -39, -40, -40, -40, -40, -40, -39, -38, -37, -36, -34, -32, -30, -28, -26, -24, -21, -18, -15, -12, -9, -6, -3, 0, 3, 6, 9, 12, 15, 18, 21, 24, 26, 28, 30, 32, 34, 36, 37, 38, 39, 40, 40, 40, 40, 40, 39, 38, 37, 36, 34, 32, 30, 28, 26, 24, 21, 18, 15, 12, 9, 6, 3, 0, -3, -6, -9, -12, -15, -18, -21, -24, -26, -28, -30, -32, -34, -36, -37, -38, -39, -40, -40]"
62,80,"[0, 5, 10, 14, 19, 24, 28, 32, 36, 40, 44, 47, 50, 53, 55, 57, 59, 60, 61, 62, 62, 62, 61, 60, 59, 57, 55, 53, 50, 47, 44, 40, 36, 32, 28, 24, 19, 14, 10, 5, 0, -5, -10, -14, -19, -24, -28, -32, -36, -40, -44, -47, -50, -53, -55, -57, -59, -60, -61, -62, -62, -62, -61, -60, -59, -57, -55, -53, -50, -47, -44, -40, -36, -32, -28, -24, -19, -14, -10, -5, 0, 5, 10, 14, 19, 24, 28, 32, 36, 40, 44, 47, 50, 53, 55, 57, 59, 60, 61, 62, 62, 62, 61, 60, 59, 57, 55, 53, 50, 47, 44, 40, 36, 32, 28, 24, 19, 14, 10, 5, 0, -5, -10, -14, -19, -24, -28, -32, -36, -40, -44, -47, -50, -53, -55, -57, -59, -60, -61, -62, -62, -62, -61, -60, -59, -57, -55, -53, -50, -47, -44, -40, -36, -32, -28, -24, -19, -14, -10, -5, 0, 5, 10, 14, 19, 24, 28, 32, 36, 40, 44, 47, 50, 53, 55, 57, 59, 60, 61, 62, 62, 62, 61, 60, 59, 57, 55, 53, 50, 47, 44, 40, 36, 32, 28, 24, 19, 14, 10, 5, 0, -5, -10, -14, -19, -24, -28, -32, -36, -40, -44, -47, -50, -53, -55, -57, -59, -60, -61, -62, -62, -62, -61, -60, -59, -57, -55, -53, -50, -47, -44, -40, -36, -32, -28, -24, -19, -14, -10, -5, 0, 5, 10, 14, 19, 24, 28, 32, 36, 40, 44, 47, 50, 53, 55, 57, 59, 60, 61, 62, 62, 62, 61, 60, 59, 57, 55, 53, 50, 47, 44, 40, 36, 32, 28, 24, 19, 14, 10, 5, 0, -5, -10, -14, -19, -24, -28, -32, -36, -40, -44, -47, -50, -53, -55, -57, -59, -60, -61, -62]"
35,80,"[0, 3, 5, 8, 11, 13, 16, 18, 21, 23, 25, 27, 28, 30, 31, 32, 33, 34, 35, 35, 35, 35, 35, 34, 33, 32, 31, 30, 28, 27, 25, 23, 21, 18, 16, 13, 11, 8, 5, 3, 0, -3, -5, -8, -11, -13, -16, -18, -21, -23, -25, -27, -28, -30, -31, -32, -33, -34, -35, -35, -35, -35, -35, -34, -33, -32, -31, -30, -28, -27, -25, -23, -21, -18, -16, -13, -11, -8, -5, -3, 0, 3, 5, 8, 11, 13, 16, 18, 21, 23, 25, 27, 28, 30, 31, 32, 33, 34, 35, 35, 35, 35, 35, 34, 33, 32, 31, 30, 28, 27, 25, 23, 21, 18, 16, 13, 11, 8, 5, 3, 0, -3, -5, -8, -11, -13, -16, -18, -21, -23, -25, -27, -28, -30, -31, -32, -33, -34, -35, -35, -35, -35, -35, -34, -33, -32, -31, -30, -28, -27, -25, -23, -21, -18, -16, -13, -11, -8, -5, -3, 0, 3, 5, 8, 11, 13, 16, 18, 21, 23, 25, 27, 28, 30, 31, 32, 33, 34, 35, 35, 35, 35, 35, 34, 33, 32, 31, 30, 28, 27, 25, 23, 21, 18, 16, 13, 11, 8, 5, 3, 0, -3, -5, -8, -11, -13, -16, -18, -21, -23, -25, -27, -28, -30, -31, -32, -33, -34, -35, -35, -35, -35, -35, -34, -33, -32, -31, -30, -28, -27, -25, -23, -21, -18, -16, -13, -11, -8, -5, -3, 0, 3, 5, 8, 11, 13, 16, 18, 21, 23, 25, 27, 28, 30, 31, 32, 33, 34, 35, 35, 35, 35, 35, 34, 33, 32, 31, 30, 28, 27, 25, 23, 21, 18, 16, 13, 11, 8, 5, 3, 0, -3, -5, -8, -11, -13, -16, -18, -21, -23, -25, -27, -28, -30, -31, -32, -33, -34, -35, -35]"
