amplitude,period,wave
25,90,"[0, 2, 3, 5, 7, 9, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22, 22, 23, 24, 24, 25, 25, 25, 25, 25, 25, 24, 24, 23, 22, 22, 21, 20, 19, 17, 16, 15, 13, 12, 10, 9, 7, 5, 3, 2, 0, -2, -3, -5, -7, -9, -10, -12, -13, -15, -16, -17, -19, -20, -21, -22, -22, -23, -24, -24, -25, -25, -25, -25, -25, -25, -24, -24, -23, -22, -22, -21, -20, -19, -17, -16, -15, -13, -12, -10, -9, -7, -5, -3, -2, 0, 2, 3, 5, 7, 9, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22, 22, 23, 24, 24, 25, 25, 25, 25, 25, 25, 24, 24, 23, 22, 22, 21, 20, 19, 17, 16, 15, 13, 12, 10, 9, 7, 5, 3, 2, 0, -2, -3, -5, -7, -9, -10, -12, -13, -15, -16, -17, -19, -20, -21, -22, -22, -23, -24, -24, -25, -25, -25, -25, -25, -25, -24, -24, -23, -22, -22, -21, -20, -19, -17, -16, -15, -13, -12, -10, -9, -7, -5, -3, -2, 0, 2, 3, 5, 7, 9, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22, 22, 23, 24, 24, 25, 25, 25, 25, 25, 25, 24, 24, 23, 22, 22, 21, 20, 19, 17, 16, 15, 13, 12, 10, 9, 7, 5, 3, 2, 0, -2, -3, -5, -7, -9, -10, -12, -13, -15, -16, -17, -19, -20, -21, -22, -22, -23, -24, -24, -25, -25, -25, -25, -25, -25, -24, -24, -23, -22, -22, -21, -20, -19, -17, -16, -15, -13, -12, -10, -9, -7, -5, -3, -2, 0, 2, 3, 5, 7, 9, 10, 12, 13, 15, 16, 17, 19, 20, 21, 22, 22, 23, 24, 24, 25, 25, 25, 25, 25, 25, 24, 24, 23, 22]"
54,58,"[0, 6, 12, 17, 23, 28, 33, 37, 41, 45, 48, 50, 52, 53, 54, 54, 53, 52, 50, 48, 45, 41, 37, 33, 28, 23, 17, 12, 6, 0, -6, -12, -17, -23, -28, -33, -37, -41, -45, -48, -50, -52, -53, -54, -54, -53, -52, -50, -48, -45, -41, -37, -33, -28, -23, -17, -12, -6, 0, 6, 12, 17, 23, 28, 33, 37, 41, 45, 48, 50, 52, 53, 54, 54, 53, 52, 50, 48, 45, 41, 37, 33, 28, 23, 17, 12, 6, 0, -6, -12, -17, -23, -28, -33, -37, -41, -45, -48, -50, -52, -53, -54, -54, -53, -52, -50, -48, -45, -41, -37, -33, -28, -23, -17, -12, -6, 0, 6, 12, 17, 23, 28, 33, 37, 41, 45, 48, 50, 52, 53, 54, 54, 53, 52, 50, 48, 45, 41, 37, 33, 28, 23, 17, 12, 6, 0, -6, -12, -17, -23, -28, -33, -37, -41, -45, -48, -50, -52, -53, -54, -54, -53, -52, -50, -48, -45, -41, -37, -33, -28, -23, -17, -12, -6, 0, 6, 12, 17, 23, 28, 33, 37, 41, 45, 48, 50, 52, 53, 54, 54, 53, 52, 50, 48, 45, 41, 37, 33, 28, 23, 17, 12, 6, 0, -6, -12, -17, -23, -28, -33, -37, -41, -45, -48, -50, -52, -53, -54, -54, -53, -52, -50, -48, -45, -41, -37, -33, -28, -23, -17, -12, -6, 0, 6, 12, 17, 23, 28, 33, 37, 41, 45, 48, 50, 52, 53, 54, 54, 53, 52, 50, 48, 45, 41, 37, 33, 28, 23, 17, 12, 6, 0, -6, -12, -17, -23, -28, -33, -37, -41, -45, -48, -50, -52, -53, -54, -54, -53, -52, -50, -48, -45, -41, -37, -33, -28, -23, -17, -12, -6, 0, 6, 12, 17, 23, 28, 33, 37, 41, 45]"
63,72,"[0, 5, 11, 16, 22, 27, 31, 36, 40, 45, 48, 52, 55, 57, 59, 61, 62, 63, 63, 63, 62, 61, 59, 57, 55, 52, 48, 45, 40, 36, 32, 27, 22, 16, 11, 5, 0, -5, -11, -16, -22, -27, -32, -36, -40, -45, -48, -52, -55, -57, -59, -61, -62, -63, -63, -63, -62, -61, -59, -57, -55, -52, -48, -45, -40, -36, -31, -27, -22, -16, -11, -5, 0, 5, 11, 16, 22, 27, 31, 36, 40, 45, 48, 52, 55, 57, 59, 61, 62, 63, 63, 63, 62, 61, 59, 57, 55, 52, 48, 45, 40, 36, 31, 27, 22, 16, 11, 5, 0, -5, -11, -16, -22, -27, -31, -36, -40, -45, -48, -52, -55, -57, -59, -61, -62, -63, -63, -63, -62, -61, -59, -57, -55, -52, -48, -45, -40, -36, -31, -27, -22, -16, -11, -5, 0, 5, 11, 16, 22, 27, 31, 36, 40, 45, 48, 52, 55, 57, 59, 61, 62, 63, 63, 63, 62, 61, 59, 57, 55, 52, 48, 45, 40, 36, 32, 27, 22, 16, 11, 5, 0, -5, -11, -16, -22, -27, -31, -36, -40, -45, -48, -52, -55, -57, -59, -61, -62, -63, -63, -63, -62, -61, -59, -57, -55, -52, -48, -45, -40, -36, -32, -27, -22, -16, -11, -5, 0, 5, 11, 16, 22, 27, 31, 36, 40, 45, 48, 52, 55, 57, 59, 61, 62, 63, 63, 63, 62, 61, 59, 57, 55, 52, 48, 45, 40, 36, 32, 27, 22, 16, 11, 5, 0, -5, -11, -16, -22, -27, -31, -36, -40, -45, -48, -52, -55, -57, -59, -61, -62, -63, -63, -63, -62, -61, -59, -57, -55, -52, -48, -45, -40, -36, -32, -27, -22, -16, -11, -5, 0, 5, 11, 16, 22, 27, 32, 36, 40, 45, 48, 52]"
53,49,"[0, 7, 13, 20, 26, 32, 37, 41, 45, 48, 51, 52, 53, 53, 52, 50, 47, 43, 39, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -39, -43, -47, -50, -52, -53, -53, -52, -51, -48, -45, -41, -37, -32, -26, -20, -13, -7, 0, 7, 13, 20, 26, 32, 37, 41, 45, 48, 51, 52, 53, 53, 52, 50, 47, 43, 39, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -39, -43, -47, -50, -52, -53, -53, -52, -51, -48, -45, -41, -37, -32, -26, -20, -13, -7, 0, 7, 13, 20, 26, 32, 37, 41, 45, 48, 51, 52, 53, 53, 52, 50, 47, 43, 39, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -39, -43, -47, -50, -52, -53, -53, -52, -51, -48, -45, -41, -37, -32, -26, -20, -13, -7, 0, 7, 13, 20, 26, 32, 37, 41, 45, 48, 51, 52, 53, 53, 52, 50, 47, 43, 39, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -39, -43, -47, -50, -52, -53, -53, -52, -51, -48, -45, -41, -37, -32, -26, -20, -13, -7, 0, 7, 13, 20, 26, 32, 37, 41, 45, 48, 51, 52, 53, 53, 52, 50, 47, 43, 39, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -39, -43, -47, -50, -52, -53, -53, -52, -51, -48, -45, -41, -37, -32, -26, -20, -13, -7, 0, 7, 13, 20, 26, 32, 37, 41, 45, 48, 51, 52, 53, 53, 52, 50, 47, 43, 39, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -39, -43, -47, -50, -52, -53, -53, -52, -51, -48, -45, -41, -37, -32, -26, -20, -13, -7, 0, 7, 13, 20, 26, 32]"
34,78,"[0, 3, 5, 8, 11, 13, 16, 18, 20, 23, 25, 26, 28, 29, 31, 32, 33, 33, 34, 34, 34, 34, 33, 33, 32, 31, 29, 28, 26, 25, 23, 20, 18, 16, 13, 11, 8, 5, 3, 0, -3, -5, -8, -11, -13, -16, -18, -20, -23, -25, -26, -28, -29, -31, -32, -33, -33, -34, -34, -34, -34, -33, -33, -32, -31, -29, -28, -26, -25, -23, -20, -18, -16, -13, -11, -8, -5, -3, 0, 3, 5, 8, 11, 13, 16, 18, 20, 23, 25, 26, 28, 29, 31, 32, 33, 33, 34, 34, 34, 34, 33, 33, 32, 31, 29, 28, 26, 25, 23, 20, 18, 16, 13, 11, 8, 5, 3, 0, -3, -5, -8, -11, -13, -16, -18, -20, -23, -25, -26, -28, -29, -31, -32, -33, -33, -34, -34, -34, -34, -33, -33, -32, -31, -29, -28, -26, -25, -23, -20, -18, -16, -13, -11, -8, -5, -3, 0, 3, 5, 8, 11, 13, 16, 18, 20, 23, 25, 26, 28, 29, 31, 32, 33, 33, 34, 34, 34, 34, 33, 33, 32, 31, 29, 28, 26, 25, 23, 20, 18, 16, 13, 11, 8, 5, 3, 0, -3, -5, -8, -11, -13, -16, -18, -20, -23, -25, -26, -28, -29, -31, -32, -33, -33, -34, -34, -34, -34, -33, -33, -32, -31, -29, -28, -26, -25, -23, -20, -18, -16, -13, -11, -8, -5, -3, 0, 3, 5, 8, 11, 13, 16, 18, 20, 23, 25, 26, 28, 29, 31, 32, 33, 33, 34, 34, 34, 34, 33, 33, 32, 31, 29, 28, 26, 25, 23, 20, 18, 16, 13, 11, 8, 5, 3, 0, -3, -5, -8, -11, -13, -16, -18, -20, -23, -25, -26, -28, -29, -31, -32, -33, -33, -34, -34, -34, -34, -33, -33, -32, -31, -29]"
60,71,"[0, 5, 11, 16, 21, 26, 30, 35, 39, 43, 46, 50, 52, 55, 57, 58, 59, 60, 60, 60, 59, 58, 56, 54, 51, 48, 45, 41, 37, 33, 28, 23, 18, 13, 8, 3, -3, -8, -13, -18, -23, -28, -33, -37, -41, -45, -48, -51, -54, -56, -58, -59, -60, -60, -60, -59, -58, -57, -55, -52, -50, -46, -43, -39, -35, -30, -26, -21, -16, -11, -5, 0, 5, 11, 16, 21, 26, 30, 35, 39, 43, 46, 50, 52, 55, 57, 58, 59, 60, 60, 60, 59, 58, 56, 54, 51, 48, 45, 41, 37, 33, 28, 23, 18, 13, 8, 3, -3, -8, -13, -18, -23, -28, -33, -37, -41, -45, -48, -51, -54, -56, -58, -59, -60, -60, -60, -59, -58, -57, -55, -52, -50, -46, -43, -39, -35, -30, -26, -21, -16, -11, -5, 0, 5, 11, 16, 21, 26, 30, 35, 39, 43, 46, 50, 52, 55, 57, 58, 59, 60, 60, 60, 59, 58, 56, 54, 51, 48, 45, 41, 37, 33, 28, 23, 18, 13, 8, 3, -3, -8, -13, -18, -23, -28, -33, -37, -41, -45, -48, -51, -54, -56, -58, -59, -60, -60, -60, -59, -58, -57, -55, -52, -50, -46, -43, -39, -35, -30, -26, -21, -16, -11, -5, 0, 5, 11, 16, 21, 26, 30, 35, 39, 43, 46, 50, 52, 55, 57, 58, 59, 60, 60, 60, 59, 58, 56, 54, 51, 48, 45, 41, 37, 33, 28, 23, 18, 13, 8, 3, -3, -8, -13, -18, -23, -28, -33, -37, -41, -45, -48, -51, -54, -56, -58, -59, -60, -60, -60, -59, -58, -57, -55, -52, -50, -46, -43, -39, -35, -30, -26, -21, -16, -11, -5, 0, 5, 11, 16, 21, 26, 30, 35, 39, 43, 46, 50, 52, 55, 57, 58]"
78,94,"[0, 5, 10, 16, 21, 26, 30, 35, 40, 44, 48, 52, 56, 60, 63, 66, 68, 71, 73, 74, 76, 77, 78, 78, 78, 78, 77, 76, 74, 73, 71, 68, 66, 63, 60, 56, 52, 48, 44, 40, 35, 30, 26, 21, 16, 10, 5, 0, -5, -10, -16, -21, -26, -30, -35, -40, -44, -48, -52, -56, -60, -63, -66, -68, -71, -73, -74, -76, -77, -78, -78, -78, -78, -77, -76, -74, -73, -71, -68, -66, -63, -60, -56, -52, -48, -44, -40, -35, -30, -26, -21, -16, -10, -5, 0, 5, 10, 16, 21, 26, 30, 35, 40, 44, 48, 52, 56, 60, 63, 66, 68, 71, 73, 74, 76, 77, 78, 78, 78, 78, 77, 76, 74, 73, 71, 68, 66, 63, 60, 56, 52, 48, 44, 40, 35, 30, 26, 21, 16, 10, 5, 0, -5, -10, -16, -21, -26, -30, -35, -40, -44, -48, -52, -56, -60, -63, -66, -68, -71, -73, -74, -76, -77, -78, -78, -78, -78, -77, -76, -74, -73, -71, -68, -66, -63, -60, -56, -52, -48, -44, -40, -35, -30, -26, -21, -16, -10, -5, 0, 5, 10, 16, 21, 26, 30, 35, 40, 44, 48, 52, 56, 60, 63, 66, 68, 71, 73, 74, 76, 77, 78, 78, 78, 78, 77, 76, 74, 73, 71, 68, 66, 63, 60, 56, 52, 48, 44, 40, 35, 30, 26, 21, 16, 10, 5, 0, -5, -10, -16, -21, -26, -30, -35, -40, -44, -48, -52, -56, -60, -63, -66, -68, -71, -73, -74, -76, -77, -78, -78, -78, -78, -77, -76, -74, -73, -71, -68, -66, -63, -60, -56, -52, -48, -44, -40, -35, -30, -26, -21, -16, -10, -5, 0, 5, 10, 16, 21, 26, 30, 35, 40, 44, 48, 52, 56, 60, 63, 66, 68, 71]"
45,41,"[0, 7, 14, 20, 26, 31, 36, 40, 42, 44, 45, 45, 43, 41, 38, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -38, -41, -43, -45, -45, -44, -42, -40, -36, -31, -26, -20, -14, -7, 0, 7, 14, 20, 26, 31, 36, 40, 42, 44, 45, 45, 43, 41, 38, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -38, -41, -43, -45, -45, -44, -42, -40, -36, -31, -26, -20, -14, -7, 0, 7, 14, 20, 26, 31, 36, 40, 42, 44, 45, 45, 43, 41, 38, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -38, -41, -43, -45, -45, -44, -42, -40, -36, -31, -26, -20, -14, -7, 0, 7, 14, 20, 26, 31, 36, 40, 42, 44, 45, 45, 43, 41, 38, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -38, -41, -43, -45, -45, -44, -42, -40, -36, -31, -26, -20, -14, -7, 0, 7, 14, 20, 26, 31, 36, 40, 42, 44, 45, 45, 43, 41, 38, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -38, -41, -43, -45, -45, -44, -42, -40, -36, -31, -26, -20, -14, -7, 0, 7, 14, 20, 26, 31, 36, 40, 42, 44, 45, 45, 43, 41, 38, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -38, -41, -43, -45, -45, -44, -42, -40, -36, -31, -26, -20, -14, -7, 0, 7, 14, 20, 26, 31, 36, 40, 42, 44, 45, 45, 43, 41, 38, 34, 29, 23, 17, 10, 3, -3, -10, -17, -23, -29, -34, -38, -41, -43, -45, -45, -44, -42, -40, -36, -31, -26, -20, -14, -7, 0, 7, 14, 20, 26, 31, 36, 40, 42, 44, 45, 45, 43]"
46,69,"[0, 4, 8, 12, 16, 20, 24, 27, 31, 34, 36, 39, 41, 43, 44, 45, 46, 46, 46, 45, 45, 43, 42, 40, 38, 35, 32, 29, 26, 22, 18, 14, 10, 6, 2, -2, -6, -10, -14, -18, -22, -26, -29, -32, -35, -38, -40, -42, -43, -45, -45, -46, -46, -46, -45, -44, -43, -41, -39, -36, -34, -31, -27, -24, -20, -16, -12, -8, -4, 0, 4, 8, 12, 16, 20, 24, 27, 31, 34, 36, 39, 41, 43, 44, 45, 46, 46, 46, 45, 45, 43, 42, 40, 38, 35, 32, 29, 26, 22, 18, 14, 10, 6, 2, -2, -6, -10, -14, -18, -22, -26, -29, -32, -35, -38, -40, -42, -43, -45, -45, -46, -46, -46, -45, -44, -43, -41, -39, -36, -34, -31, -27, -24, -20, -16, -12, -8, -4, 0, 4, 8, 12, 16, 20, 24, 27, 31, 34, 36, 39, 41, 43, 44, 45, 46, 46, 46, 45, 45, 43, 42, 40, 38, 35, 32, 29, 26, 22, 18, 14, 10, 6, 2, -2, -6, -10, -14, -18, -22, -26, -29, -32, -35, -38, -40, -42, -43, -45, -45, -46, -46, -46, -45, -44, -43, -41, -39, -36, -34, -31, -27, -24, -20, -16, -12, -8, -4, 0, 4, 8, 12, 16, 20, 24, 27, 31, 34, 36, 39, 41, 43, 44, 45, 46, 46, 46, 45, 45, 43, 42, 40, 38, 35, 32, 29, 26, 22, 18, 14, 10, 6, 2, -2, -6, -10, -14, -18, -22, -26, -29, -32, -35, -38, -40, -42, -43, -45, -45, -46, -46, -46, -45, -44, -43, -41, -39, -36, -34, -31, -27, -24, -20, -16, -12, -8, -4, 0, 4, 8, 12, 16, 20, 24, 27, 31, 34, 36, 39, 41, 43, 44, 45, 46, 46, 46, 45, 45, 43, 42, 40]"
64,88,"[0, 5, 9, 14, 18, 22, 27, 31, 35, 38, 42, 45, 48, 51, 54, 56, 58, 60, 61, 63, 63, 64, 64, 64, 63, 63, 61, 60, 58, 56, 54, 51, 48, 45, 42, 38, 35, 31, 27, 22, 18, 14, 9, 5, 0, -5, -9, -14, -18, -22, -27, -31, -35, -38, -42, -45, -48, -51, -54, -56, -58, -60, -61, -63, -63, -64, -64, -64, -63, -63, -61, -60, -58, -56, -54, -51, -48, -45, -42, -38, -35, -31, -27, -22, -18, -14, -9, -5, 0, 5, 9, 14, 18, 22, 27, 31, 35, 38, 42, 45, 48, 51, 54, 56, 58, 60, 61, 63, 63, 64, 64, 64, 63, 63, 61, 60, 58, 56, 54, 51, 48, 45, 42, 38, 35, 31, 27, 22, 18, 14, 9, 5, 0, -5, -9, -14, -18, -22, -27, -31, -35, -38, -42, -45, -48, -51, -54, -56, -58, -60, -61, -63, -63, -64, -64, -64, -63, -63, -61, -60, -58, -56, -54, -51, -48, -45, -42, -38, -35, -31, -27, -22, -18, -14, -9, -5, 0, 5, 9, 14, 18, 22, 27, 31, 35, 38, 42, 45, 48, 51, 54, 56, 58, 60, 61, 63, 63, 64, 64, 64, 63, 63, 61, 60, 58, 56, 54, 51, 48, 45, 42, 38, 35, 31, 27, 22, 18, 14, 9, 5, 0, -5, -9, -14, -18, -22, -27, -31, -35, -38, -42, -45, -48, -51, -54, -56, -58, -60, -61, -63, -63, -64, -64, -64, -63, -63, -61, -60, -58, -56, -54, -51, -48, -45, -42, -38, -35, -31, -27, -22, -18, -14, -9, -5, 0, 5, 9, 14, 18, 22, 27, 31, 35, 38, 42, 45, 48, 51, 54, 56, 58, 60, 61, 63, 63, 64, 64, 64, 63, 63, 61, 60, 58, 56, 54, 51, 48, 45, 42, 38]"
